央视频道,#genre#
爱上4K,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000459/index.m3u8?IAS
Love Nrture 4K自然,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
4K 修复,http://[2409:8087:2001:20:2800:0:df6e:eb15]/wh7f454c46tw1958249448_-1314265822/ott.mobaibox.com/PLTV/3/224/3221228141/index.m3u8
BesTV 4K 「IPV6」
http://[2409:8087:5e01:34::30]:6610/ZTE_CMS/00000001000000060000000000000202/index.m3u8?IAS
纯享 4K,http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f454c46tw4259108076_496521789/ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8
纯享 4K,http://[2409:8087:2001:20:2800:0:df6e:eb10]:80/ott.mobaibox.com/PLTV/4/224/3221228242/index.m3u8
SiTV欢笑剧场4K,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002156/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
华数4K,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000003000004748/index.m3u8?channel-id=wasusyt&Contentid=6000000003000004748&livemode=1&stbId=3

斗鱼,#genre#
douyu8,http://epg.112114.xyz/douyu/4332
douyu9,http://epg.112114.xyz/douyu/6140589
douyu15,http://epg.112114.xyz/douyu/8770422
douyu19,http://epg.112114.xyz/douyu/747764
douyu20,http://epg.112114.xyz/douyu/52787
douyu24,http://epg.112114.xyz/douyu/36337
douyu25,http://epg.112114.xyz/douyu/8814650
douyu28,http://epg.112114.xyz/douyu/263824
douyu44,http://epg.112114.xyz/douyu/323876
刘德华,http://epg.112114.xyz/douyu/2516864
宇哥电影,http://epg.112114.xyz/douyu/413573
林正英,http://epg.112114.xyz/douyu/218859
欧美大片1,http://epg.112114.xyz/douyu/20415
欧美大片2,http://epg.112114.xyz/douyu/2793084
欧美大片3,http://epg.112114.xyz/douyu/9249162
粤语电影2,http://epg.112114.xyz/douyu/6566671
粤语电影3,http://epg.112114.xyz/douyu/1226741
贝爷影厅,http://epg.112114.xyz/douyu/252802
